	D-Glc-b	D-Glc-a	L-Glc-b	L-Glc-a	D-Gal-b	D-Gal-a	L-Gal-b	L-Gal-a	D-Man-b	D-Man-a	L-Man-b	L-Man-a	D-Fuc-b	D-Fuc-a	L-Fuc-b	L-Fuc-a	D-GlcNAc-b	D-GlcNAc-a	L-GlcNAc-b	L-GlcNAc-a	D-GalNAc-b	D-GalNAc-a	L-GalNAc-b	L-GalNAc-a	D-ManNAc-b	D-ManNAc-a	L-ManNAc-b	L-ManNAc-a	D-Rha-b	D-Rha-a	L-Rha-b	L-Rha-a	D-Xyl-b	D-Xyl-a	L-Xyl-b	L-Xyl-a	L-Ara-b	L-Ara-a	D-Neu5Ac-b	D-Neu5Ac-a
L-Man-b	0.818181818181818	0.772727272727273	0.909090909090909	0.818181818181818	0.909090909090909	0.863636363636364	0.818181818181818	0.727272727272727	0.818181818181818	0.727272727272727	1	0.909090909090909	0.909090909090909	0.863636363636364	0.772727272727273	0.681818181818182	0.772727272727273	0.727272727272727	0.909090909090909	0.818181818181818	0.863636363636364	0.818181818181818	0.818181818181818	0.727272727272727	0.772727272727273	0.681818181818182	0.954545454545455	0.863636363636364	0.772727272727273	0.681818181818182	0.954545454545455	0.863636363636364	0.818181818181818	0.772727272727273	0.863636363636364	0.772727272727273	0.681818181818182	0.772727272727273	0.772727272727273	0.818181818181818
L-Man-a	0.772727272727273	0.772727272727273	0.818181818181818	0.909090909090909	0.863636363636364	0.818181818181818	0.727272727272727	0.818181818181818	0.727272727272727	0.727272727272727	0.909090909090909	1	0.863636363636364	0.818181818181818	0.727272727272727	0.772727272727273	0.727272727272727	0.727272727272727	0.818181818181818	0.909090909090909	0.818181818181818	0.772727272727273	0.727272727272727	0.818181818181818	0.681818181818182	0.727272727272727	0.863636363636364	0.954545454545455	0.681818181818182	0.727272727272727	0.863636363636364	0.954545454545455	0.772727272727273	0.772727272727273	0.772727272727273	0.863636363636364	0.772727272727273	0.727272727272727	0.818181818181818	0.772727272727273
D-Fuc-b	0.863636363636364	0.818181818181818	0.818181818181818	0.772727272727273	0.954545454545455	0.863636363636364	0.772727272727273	0.681818181818182	0.772727272727273	0.727272727272727	0.909090909090909	0.863636363636364	1	0.909090909090909	0.818181818181818	0.727272727272727	0.818181818181818	0.772727272727273	0.818181818181818	0.772727272727273	0.909090909090909	0.818181818181818	0.727272727272727	0.681818181818182	0.772727272727273	0.727272727272727	0.863636363636364	0.818181818181818	0.818181818181818	0.727272727272727	0.909090909090909	0.863636363636364	0.909090909090909	0.818181818181818	0.818181818181818	0.772727272727273	0.681818181818182	0.772727272727273	0.772727272727273	0.772727272727273
D-Fuc-a	0.772727272727273	0.863636363636364	0.772727272727273	0.727272727272727	0.863636363636364	0.954545454545455	0.681818181818182	0.727272727272727	0.681818181818182	0.772727272727273	0.863636363636364	0.818181818181818	0.909090909090909	1	0.727272727272727	0.727272727272727	0.727272727272727	0.818181818181818	0.772727272727273	0.727272727272727	0.818181818181818	0.909090909090909	0.681818181818182	0.727272727272727	0.681818181818182	0.772727272727273	0.818181818181818	0.772727272727273	0.727272727272727	0.818181818181818	0.863636363636364	0.818181818181818	0.818181818181818	0.909090909090909	0.772727272727273	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727
L-Fuc-b	0.818181818181818	0.772727272727273	0.863636363636364	0.818181818181818	0.772727272727273	0.681818181818182	0.954545454545455	0.863636363636364	0.909090909090909	0.863636363636364	0.772727272727273	0.727272727272727	0.818181818181818	0.727272727272727	1	0.909090909090909	0.818181818181818	0.772727272727273	0.818181818181818	0.772727272727273	0.727272727272727	0.681818181818182	0.909090909090909	0.818181818181818	0.863636363636364	0.818181818181818	0.772727272727273	0.727272727272727	0.909090909090909	0.863636363636364	0.818181818181818	0.727272727272727	0.818181818181818	0.772727272727273	0.909090909090909	0.818181818181818	0.863636363636364	0.954545454545455	0.727272727272727	0.772727272727273
L-Fuc-a	0.772727272727273	0.727272727272727	0.772727272727273	0.863636363636364	0.681818181818182	0.727272727272727	0.863636363636364	0.954545454545455	0.863636363636364	0.818181818181818	0.681818181818182	0.772727272727273	0.727272727272727	0.727272727272727	0.909090909090909	1	0.772727272727273	0.727272727272727	0.727272727272727	0.818181818181818	0.681818181818182	0.727272727272727	0.818181818181818	0.909090909090909	0.818181818181818	0.772727272727273	0.681818181818182	0.772727272727273	0.863636363636364	0.818181818181818	0.727272727272727	0.818181818181818	0.772727272727273	0.727272727272727	0.818181818181818	0.909090909090909	0.954545454545455	0.863636363636364	0.772727272727273	0.727272727272727
D-GlcNAc-b	0.954545454545455	0.863636363636364	0.863636363636364	0.818181818181818	0.863636363636364	0.772727272727273	0.818181818181818	0.772727272727273	0.909090909090909	0.818181818181818	0.772727272727273	0.727272727272727	0.818181818181818	0.727272727272727	0.818181818181818	0.772727272727273	1	0.909090909090909	0.818181818181818	0.772727272727273	0.909090909090909	0.818181818181818	0.818181818181818	0.727272727272727	0.909090909090909	0.818181818181818	0.772727272727273	0.727272727272727	0.863636363636364	0.772727272727273	0.772727272727273	0.727272727272727	0.909090909090909	0.818181818181818	0.863636363636364	0.818181818181818	0.772727272727273	0.818181818181818	0.818181818181818	0.818181818181818
D-GlcNAc-a	0.863636363636364	0.954545454545455	0.818181818181818	0.772727272727273	0.772727272727273	0.863636363636364	0.772727272727273	0.727272727272727	0.818181818181818	0.909090909090909	0.727272727272727	0.727272727272727	0.772727272727273	0.818181818181818	0.772727272727273	0.727272727272727	0.909090909090909	1	0.772727272727273	0.727272727272727	0.818181818181818	0.909090909090909	0.727272727272727	0.681818181818182	0.818181818181818	0.909090909090909	0.727272727272727	0.727272727272727	0.772727272727273	0.863636363636364	0.727272727272727	0.727272727272727	0.818181818181818	0.909090909090909	0.818181818181818	0.772727272727273	0.772727272727273	0.818181818181818	0.772727272727273	0.772727272727273
L-GlcNAc-b	0.863636363636364	0.818181818181818	0.954545454545455	0.863636363636364	0.818181818181818	0.772727272727273	0.863636363636364	0.772727272727273	0.772727272727273	0.727272727272727	0.909090909090909	0.818181818181818	0.818181818181818	0.772727272727273	0.818181818181818	0.727272727272727	0.818181818181818	0.772727272727273	1	0.909090909090909	0.818181818181818	0.727272727272727	0.909090909090909	0.818181818181818	0.772727272727273	0.727272727272727	0.909090909090909	0.818181818181818	0.772727272727273	0.727272727272727	0.863636363636364	0.772727272727273	0.863636363636364	0.818181818181818	0.909090909090909	0.818181818181818	0.727272727272727	0.818181818181818	0.772727272727273	0.818181818181818
L-GlcNAc-a	0.818181818181818	0.772727272727273	0.863636363636364	0.954545454545455	0.772727272727273	0.727272727272727	0.772727272727273	0.863636363636364	0.727272727272727	0.727272727272727	0.818181818181818	0.909090909090909	0.772727272727273	0.727272727272727	0.772727272727273	0.818181818181818	0.772727272727273	0.727272727272727	0.909090909090909	1	0.727272727272727	0.681818181818182	0.818181818181818	0.909090909090909	0.727272727272727	0.727272727272727	0.818181818181818	0.909090909090909	0.727272727272727	0.727272727272727	0.772727272727273	0.863636363636364	0.818181818181818	0.772727272727273	0.818181818181818	0.909090909090909	0.818181818181818	0.772727272727273	0.818181818181818	0.772727272727273
D-GalNAc-b	0.863636363636364	0.772727272727273	0.772727272727273	0.727272727272727	0.954545454545455	0.863636363636364	0.772727272727273	0.681818181818182	0.818181818181818	0.727272727272727	0.863636363636364	0.818181818181818	0.909090909090909	0.818181818181818	0.727272727272727	0.681818181818182	0.909090909090909	0.818181818181818	0.818181818181818	0.727272727272727	1	0.909090909090909	0.818181818181818	0.727272727272727	0.818181818181818	0.727272727272727	0.818181818181818	0.772727272727273	0.772727272727273	0.681818181818182	0.863636363636364	0.818181818181818	0.818181818181818	0.772727272727273	0.772727272727273	0.727272727272727	0.681818181818182	0.727272727272727	0.818181818181818	0.818181818181818
D-GalNAc-a	0.772727272727273	0.863636363636364	0.727272727272727	0.681818181818182	0.863636363636364	0.954545454545455	0.681818181818182	0.727272727272727	0.727272727272727	0.818181818181818	0.818181818181818	0.772727272727273	0.818181818181818	0.909090909090909	0.681818181818182	0.727272727272727	0.818181818181818	0.909090909090909	0.727272727272727	0.681818181818182	0.909090909090909	1	0.727272727272727	0.727272727272727	0.727272727272727	0.818181818181818	0.772727272727273	0.727272727272727	0.681818181818182	0.772727272727273	0.818181818181818	0.772727272727273	0.727272727272727	0.818181818181818	0.727272727272727	0.681818181818182	0.727272727272727	0.727272727272727	0.772727272727273	0.772727272727273
L-GalNAc-b	0.772727272727273	0.727272727272727	0.863636363636364	0.772727272727273	0.772727272727273	0.681818181818182	0.954545454545455	0.863636363636364	0.863636363636364	0.818181818181818	0.818181818181818	0.727272727272727	0.727272727272727	0.681818181818182	0.909090909090909	0.818181818181818	0.818181818181818	0.727272727272727	0.909090909090909	0.818181818181818	0.818181818181818	0.727272727272727	1	0.909090909090909	0.818181818181818	0.772727272727273	0.818181818181818	0.727272727272727	0.863636363636364	0.818181818181818	0.772727272727273	0.681818181818182	0.772727272727273	0.727272727272727	0.818181818181818	0.772727272727273	0.818181818181818	0.909090909090909	0.727272727272727	0.772727272727273
L-GalNAc-a	0.727272727272727	0.681818181818182	0.772727272727273	0.863636363636364	0.681818181818182	0.727272727272727	0.863636363636364	0.954545454545455	0.818181818181818	0.772727272727273	0.727272727272727	0.818181818181818	0.681818181818182	0.727272727272727	0.818181818181818	0.909090909090909	0.727272727272727	0.681818181818182	0.818181818181818	0.909090909090909	0.727272727272727	0.727272727272727	0.909090909090909	1	0.772727272727273	0.727272727272727	0.727272727272727	0.818181818181818	0.818181818181818	0.772727272727273	0.681818181818182	0.772727272727273	0.727272727272727	0.681818181818182	0.727272727272727	0.818181818181818	0.909090909090909	0.818181818181818	0.772727272727273	0.727272727272727
D-ManNAc-b	0.909090909090909	0.818181818181818	0.818181818181818	0.772727272727273	0.818181818181818	0.727272727272727	0.863636363636364	0.818181818181818	0.954545454545455	0.863636363636364	0.772727272727273	0.681818181818182	0.772727272727273	0.681818181818182	0.863636363636364	0.818181818181818	0.909090909090909	0.818181818181818	0.772727272727273	0.727272727272727	0.818181818181818	0.727272727272727	0.818181818181818	0.772727272727273	1	0.909090909090909	0.818181818181818	0.727272727272727	0.909090909090909	0.818181818181818	0.727272727272727	0.681818181818182	0.863636363636364	0.772727272727273	0.818181818181818	0.772727272727273	0.818181818181818	0.863636363636364	0.727272727272727	0.727272727272727
D-ManNAc-a	0.818181818181818	0.909090909090909	0.772727272727273	0.727272727272727	0.727272727272727	0.818181818181818	0.818181818181818	0.772727272727273	0.863636363636364	0.954545454545455	0.681818181818182	0.727272727272727	0.727272727272727	0.772727272727273	0.818181818181818	0.772727272727273	0.818181818181818	0.909090909090909	0.727272727272727	0.727272727272727	0.727272727272727	0.818181818181818	0.772727272727273	0.727272727272727	0.909090909090909	1	0.727272727272727	0.727272727272727	0.818181818181818	0.909090909090909	0.681818181818182	0.727272727272727	0.772727272727273	0.863636363636364	0.772727272727273	0.727272727272727	0.818181818181818	0.863636363636364	0.681818181818182	0.681818181818182
L-ManNAc-b	0.818181818181818	0.772727272727273	0.909090909090909	0.818181818181818	0.863636363636364	0.818181818181818	0.818181818181818	0.727272727272727	0.772727272727273	0.681818181818182	0.954545454545455	0.863636363636364	0.863636363636364	0.818181818181818	0.772727272727273	0.681818181818182	0.772727272727273	0.727272727272727	0.909090909090909	0.818181818181818	0.818181818181818	0.772727272727273	0.818181818181818	0.727272727272727	0.818181818181818	0.727272727272727	1	0.909090909090909	0.727272727272727	0.681818181818182	0.909090909090909	0.818181818181818	0.818181818181818	0.772727272727273	0.863636363636364	0.772727272727273	0.681818181818182	0.772727272727273	0.772727272727273	0.818181818181818
L-ManNAc-a	0.772727272727273	0.727272727272727	0.818181818181818	0.909090909090909	0.818181818181818	0.772727272727273	0.727272727272727	0.818181818181818	0.681818181818182	0.727272727272727	0.863636363636364	0.954545454545455	0.818181818181818	0.772727272727273	0.727272727272727	0.772727272727273	0.727272727272727	0.727272727272727	0.818181818181818	0.909090909090909	0.772727272727273	0.727272727272727	0.727272727272727	0.818181818181818	0.727272727272727	0.727272727272727	0.909090909090909	1	0.681818181818182	0.727272727272727	0.818181818181818	0.909090909090909	0.772727272727273	0.727272727272727	0.772727272727273	0.863636363636364	0.772727272727273	0.727272727272727	0.818181818181818	0.772727272727273
D-Rha-b	0.863636363636364	0.772727272727273	0.818181818181818	0.772727272727273	0.772727272727273	0.681818181818182	0.909090909090909	0.863636363636364	0.954545454545455	0.863636363636364	0.772727272727273	0.681818181818182	0.818181818181818	0.727272727272727	0.909090909090909	0.863636363636364	0.863636363636364	0.772727272727273	0.772727272727273	0.727272727272727	0.772727272727273	0.681818181818182	0.863636363636364	0.818181818181818	0.909090909090909	0.818181818181818	0.727272727272727	0.681818181818182	1	0.909090909090909	0.818181818181818	0.727272727272727	0.909090909090909	0.818181818181818	0.818181818181818	0.772727272727273	0.863636363636364	0.909090909090909	0.727272727272727	0.727272727272727
D-Rha-a	0.772727272727273	0.863636363636364	0.772727272727273	0.772727272727273	0.727272727272727	0.772727272727273	0.863636363636364	0.818181818181818	0.863636363636364	0.954545454545455	0.681818181818182	0.727272727272727	0.727272727272727	0.818181818181818	0.863636363636364	0.818181818181818	0.772727272727273	0.863636363636364	0.727272727272727	0.727272727272727	0.681818181818182	0.772727272727273	0.818181818181818	0.772727272727273	0.818181818181818	0.909090909090909	0.681818181818182	0.727272727272727	0.909090909090909	1	0.727272727272727	0.727272727272727	0.818181818181818	0.909090909090909	0.772727272727273	0.772727272727273	0.863636363636364	0.909090909090909	0.681818181818182	0.681818181818182
L-Rha-b	0.818181818181818	0.772727272727273	0.863636363636364	0.772727272727273	0.909090909090909	0.863636363636364	0.772727272727273	0.681818181818182	0.772727272727273	0.681818181818182	0.954545454545455	0.863636363636364	0.909090909090909	0.863636363636364	0.818181818181818	0.727272727272727	0.772727272727273	0.727272727272727	0.863636363636364	0.772727272727273	0.863636363636364	0.818181818181818	0.772727272727273	0.681818181818182	0.727272727272727	0.681818181818182	0.909090909090909	0.818181818181818	0.818181818181818	0.727272727272727	1	0.909090909090909	0.818181818181818	0.772727272727273	0.909090909090909	0.818181818181818	0.681818181818182	0.772727272727273	0.772727272727273	0.818181818181818
L-Rha-a	0.772727272727273	0.772727272727273	0.772727272727273	0.863636363636364	0.863636363636364	0.818181818181818	0.727272727272727	0.772727272727273	0.681818181818182	0.727272727272727	0.863636363636364	0.954545454545455	0.863636363636364	0.818181818181818	0.727272727272727	0.818181818181818	0.727272727272727	0.727272727272727	0.772727272727273	0.863636363636364	0.818181818181818	0.772727272727273	0.681818181818182	0.772727272727273	0.681818181818182	0.727272727272727	0.818181818181818	0.909090909090909	0.727272727272727	0.727272727272727	0.909090909090909	1	0.772727272727273	0.772727272727273	0.818181818181818	0.909090909090909	0.772727272727273	0.727272727272727	0.818181818181818	0.772727272727273
D-Xyl-b	0.954545454545455	0.863636363636364	0.909090909090909	0.863636363636364	0.863636363636364	0.772727272727273	0.818181818181818	0.772727272727273	0.863636363636364	0.772727272727273	0.818181818181818	0.772727272727273	0.909090909090909	0.818181818181818	0.818181818181818	0.772727272727273	0.909090909090909	0.818181818181818	0.863636363636364	0.818181818181818	0.818181818181818	0.727272727272727	0.772727272727273	0.727272727272727	0.863636363636364	0.772727272727273	0.818181818181818	0.772727272727273	0.909090909090909	0.818181818181818	0.818181818181818	0.772727272727273	1	0.909090909090909	0.909090909090909	0.863636363636364	0.772727272727273	0.818181818181818	0.772727272727273	0.772727272727273
D-Xyl-a	0.863636363636364	0.954545454545455	0.863636363636364	0.818181818181818	0.818181818181818	0.863636363636364	0.772727272727273	0.727272727272727	0.772727272727273	0.863636363636364	0.772727272727273	0.772727272727273	0.818181818181818	0.909090909090909	0.772727272727273	0.727272727272727	0.818181818181818	0.909090909090909	0.818181818181818	0.772727272727273	0.772727272727273	0.818181818181818	0.727272727272727	0.681818181818182	0.772727272727273	0.863636363636364	0.772727272727273	0.727272727272727	0.818181818181818	0.909090909090909	0.772727272727273	0.772727272727273	0.909090909090909	1	0.863636363636364	0.818181818181818	0.772727272727273	0.818181818181818	0.727272727272727	0.727272727272727
L-Xyl-b	0.909090909090909	0.863636363636364	0.954545454545455	0.863636363636364	0.818181818181818	0.772727272727273	0.863636363636364	0.772727272727273	0.818181818181818	0.772727272727273	0.863636363636364	0.772727272727273	0.818181818181818	0.772727272727273	0.909090909090909	0.818181818181818	0.863636363636364	0.818181818181818	0.909090909090909	0.818181818181818	0.772727272727273	0.727272727272727	0.818181818181818	0.727272727272727	0.818181818181818	0.772727272727273	0.863636363636364	0.772727272727273	0.818181818181818	0.772727272727273	0.909090909090909	0.818181818181818	0.909090909090909	0.863636363636364	1	0.909090909090909	0.772727272727273	0.863636363636364	0.772727272727273	0.818181818181818
L-Xyl-a	0.863636363636364	0.818181818181818	0.863636363636364	0.954545454545455	0.772727272727273	0.727272727272727	0.818181818181818	0.863636363636364	0.772727272727273	0.772727272727273	0.772727272727273	0.863636363636364	0.772727272727273	0.727272727272727	0.818181818181818	0.909090909090909	0.818181818181818	0.772727272727273	0.818181818181818	0.909090909090909	0.727272727272727	0.681818181818182	0.772727272727273	0.818181818181818	0.772727272727273	0.727272727272727	0.772727272727273	0.863636363636364	0.772727272727273	0.772727272727273	0.818181818181818	0.909090909090909	0.863636363636364	0.818181818181818	0.909090909090909	1	0.863636363636364	0.818181818181818	0.818181818181818	0.772727272727273
L-Ara-b	0.772727272727273	0.772727272727273	0.772727272727273	0.863636363636364	0.681818181818182	0.727272727272727	0.863636363636364	0.954545454545455	0.863636363636364	0.863636363636364	0.681818181818182	0.772727272727273	0.681818181818182	0.727272727272727	0.863636363636364	0.954545454545455	0.772727272727273	0.772727272727273	0.727272727272727	0.818181818181818	0.681818181818182	0.727272727272727	0.818181818181818	0.909090909090909	0.818181818181818	0.818181818181818	0.681818181818182	0.772727272727273	0.863636363636364	0.863636363636364	0.681818181818182	0.772727272727273	0.772727272727273	0.772727272727273	0.772727272727273	0.863636363636364	1	0.909090909090909	0.772727272727273	0.727272727272727
L-Ara-a	0.818181818181818	0.818181818181818	0.863636363636364	0.818181818181818	0.772727272727273	0.727272727272727	0.954545454545455	0.863636363636364	0.909090909090909	0.909090909090909	0.772727272727273	0.727272727272727	0.772727272727273	0.727272727272727	0.954545454545455	0.863636363636364	0.818181818181818	0.818181818181818	0.818181818181818	0.772727272727273	0.727272727272727	0.727272727272727	0.909090909090909	0.818181818181818	0.863636363636364	0.863636363636364	0.772727272727273	0.727272727272727	0.909090909090909	0.909090909090909	0.772727272727273	0.727272727272727	0.818181818181818	0.818181818181818	0.863636363636364	0.818181818181818	0.909090909090909	1	0.727272727272727	0.772727272727273
D-Neu5Ac-b	0.772727272727273	0.727272727272727	0.772727272727273	0.818181818181818	0.772727272727273	0.727272727272727	0.727272727272727	0.772727272727273	0.727272727272727	0.681818181818182	0.772727272727273	0.818181818181818	0.772727272727273	0.727272727272727	0.727272727272727	0.772727272727273	0.818181818181818	0.772727272727273	0.772727272727273	0.818181818181818	0.818181818181818	0.772727272727273	0.727272727272727	0.772727272727273	0.727272727272727	0.681818181818182	0.772727272727273	0.818181818181818	0.727272727272727	0.681818181818182	0.772727272727273	0.818181818181818	0.772727272727273	0.727272727272727	0.772727272727273	0.818181818181818	0.772727272727273	0.727272727272727	1	0.909090909090909
D-Neu5Ac-a	0.772727272727273	0.727272727272727	0.818181818181818	0.772727272727273	0.772727272727273	0.727272727272727	0.772727272727273	0.727272727272727	0.727272727272727	0.681818181818182	0.818181818181818	0.772727272727273	0.772727272727273	0.727272727272727	0.772727272727273	0.727272727272727	0.818181818181818	0.772727272727273	0.818181818181818	0.772727272727273	0.818181818181818	0.772727272727273	0.772727272727273	0.727272727272727	0.727272727272727	0.681818181818182	0.818181818181818	0.772727272727273	0.727272727272727	0.681818181818182	0.818181818181818	0.772727272727273	0.772727272727273	0.727272727272727	0.818181818181818	0.772727272727273	0.727272727272727	0.772727272727273	0.909090909090909	1
