	D-Glc-b	D-Glc-a	L-Glc-b	L-Glc-a	D-Gal-b	D-Gal-a	L-Gal-b	L-Gal-a	D-Man-b	D-Man-a	L-Man-b	L-Man-a	D-Fuc-b	D-Fuc-a	L-Fuc-b	L-Fuc-a	D-GlcNAc-b	D-GlcNAc-a	L-GlcNAc-b	L-GlcNAc-a	D-GalNAc-b	D-GalNAc-a	L-GalNAc-b	L-GalNAc-a	D-ManNAc-b	D-ManNAc-a	L-ManNAc-b	L-ManNAc-a	D-Rha-b	D-Rha-a	L-Rha-b	L-Rha-a	D-Xyl-b	D-Xyl-a	L-Xyl-b	L-Xyl-a	L-Ara-b	L-Ara-a	D-Neu5Ac-b	D-Neu5Ac-a
D-GlcNAc-b	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.81989247311828	0.81989247311828
D-GlcNAc-a	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.81989247311828	0.81989247311828
L-GlcNAc-b	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.81989247311828	0.81989247311828
L-GlcNAc-a	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.81989247311828	0.81989247311828
D-GalNAc-b	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.81989247311828	0.81989247311828
D-GalNAc-a	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.81989247311828	0.81989247311828
L-GalNAc-b	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.81989247311828	0.81989247311828
L-GalNAc-a	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.81989247311828	0.81989247311828
D-ManNAc-b	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.81989247311828	0.81989247311828
D-ManNAc-a	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.81989247311828	0.81989247311828
L-ManNAc-b	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.81989247311828	0.81989247311828
L-ManNAc-a	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.81989247311828	0.81989247311828
D-Rha-b	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
D-Rha-a	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
L-Rha-b	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
L-Rha-a	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
D-Xyl-b	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
D-Xyl-a	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
L-Xyl-b	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
L-Xyl-a	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
L-Ara-b	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
L-Ara-a	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	0.205940594059406	1	1	1	1	1	1	1	1	1	1	0.221804511278195	0.221804511278195
D-Neu5Ac-b	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.81989247311828	0.81989247311828	0.81989247311828	0.81989247311828	0.81989247311828	0.81989247311828	0.81989247311828	0.81989247311828	0.81989247311828	0.81989247311828	0.81989247311828	0.81989247311828	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	1	1
D-Neu5Ac-a	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.81989247311828	0.81989247311828	0.81989247311828	0.81989247311828	0.81989247311828	0.81989247311828	0.81989247311828	0.81989247311828	0.81989247311828	0.81989247311828	0.81989247311828	0.81989247311828	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	0.221804511278195	1	1
